feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
UniRef50_E3R1Z4	diet_type	Low Carbohydrate	-2.29893161878491	3.16962696526507	10	1	0.520724141371225	0.787469844331312
UniRef50_A0A1B2YPR7	diet_type	Pescaterian	-1.71632623362968	2.4653502545519	10	1	0.5364054007838	0.787469844331312
UniRef50_A0A0R2FJ43	antibiotic_12m	yes	-1.49273429575493	2.53173703047459	10	1	0.596913256587412	0.787469844331312
UniRef50_A0A0R2FJ43	diet_type	Low Carbohydrate	-2.07567699802738	3.2515114334698	10	1	0.568624214287336	0.787469844331312
UniRef50_P00414..Cytochrome.c.oxidase.subunit.3	diet_type	Low Carbohydrate	-2.81020020834039	2.61886570382894	10	1	0.361881568222577	0.787469844331312
UniRef50_A0A086ZNF4	diet_type	Low Carbohydrate	-1.13453387364211	1.7984436573439	10	1	0.572927355959792	0.787469844331312
UniRef50_A5FQQ4..50S.ribosomal.protein.L33	Fam_hx_stone	Yes	-3.81292401198958	4.20657630293474	10	1	0.431533977618556	0.787469844331312
UniRef50_A5FQQ4..50S.ribosomal.protein.L33	diet_type	Pescaterian	4.62794402120082	7.83365451476718	10	1	0.596223769839068	0.787469844331312
UniRef50_C1CZV9	diet_type	Pescaterian	2.11977913057581	4.02330881562554	10	1	0.634755257320758	0.787469844331312
UniRef50_A0A0M4N4C5	antibiotic_12m	yes	0.748030136056892	1.39289066733403	10	1	0.628518775430098	0.787469844331312
UniRef50_A0A0M4N4C5	diet_type	Low Carbohydrate	-1.16379346671965	1.78622241259587	10	1	0.561159442392752	0.787469844331312
UniRef50_A0A0M4N4C5	diet_type	Pescaterian	0.748030136056891	1.39289066733403	10	1	0.628518775430099	0.787469844331312
UniRef50_D1YK59..50S.ribosomal.protein.L10	antibiotic_12m	yes	0.748030136056892	1.39289066733403	10	1	0.628518775430098	0.787469844331312
UniRef50_D1YK59..50S.ribosomal.protein.L10	diet_type	Low Carbohydrate	-1.16379346671965	1.78622241259587	10	1	0.561159442392752	0.787469844331312
UniRef50_D1YK59..50S.ribosomal.protein.L10	diet_type	Pescaterian	0.748030136056891	1.39289066733403	10	1	0.628518775430099	0.787469844331312
UniRef50_A0A087D451	antibiotic_12m	yes	0.747146018176066	1.38363670227554	10	1	0.626713957858247	0.787469844331312
UniRef50_A0A087D451	diet_type	Low Carbohydrate	-1.1588156121396	1.77438750312737	10	1	0.560290999396869	0.787469844331312
UniRef50_A0A087D451	diet_type	Pescaterian	0.747146018176064	1.38363670227554	10	1	0.626713957858247	0.787469844331312
UniRef50_A7A546	antibiotic_12m	yes	0.747146018176066	1.38363670227554	10	1	0.626713957858247	0.787469844331312
UniRef50_A7A546	diet_type	Low Carbohydrate	-1.1588156121396	1.77438750312737	10	1	0.560290999396869	0.787469844331312
UniRef50_A7A546	diet_type	Pescaterian	0.747146018176064	1.38363670227554	10	1	0.626713957858247	0.787469844331312
UniRef50_A0A0B5BI50	antibiotic_12m	yes	0.741880404268525	1.37592212513872	10	1	0.627202195962151	0.787469844331312
UniRef50_A0A0B5BI50	diet_type	Low Carbohydrate	-1.15060827998106	1.76450841451043	10	1	0.560851828144271	0.787469844331312
UniRef50_A0A0B5BI50	diet_type	Pescaterian	0.741880404268525	1.37592212513872	10	1	0.627202195962151	0.787469844331312
